,I0T,I0N,I0G,I0A,D0D,D0G,D0A,D0L,D0N,D0I,D0K,D0T,D0V,D0Q,D0S,D0R,D0Y,Y0L,Y0N,Y0D,Y0F,Y0G,Y0A,Y0T,Y0S,V0G,V0D,V0A,V0V,V0T,E0A,E0G,E0L,K0N,K0L,K0I,K0G,K0D,K0A,K0Y,K0V,K0T,K0S,F0D,F0A,F0N,L0Y,L0T,L0S,L0N,L0K,L0D,L0G,L0A,A0D,A0G,A0A,A0L,A0N,A0I,A0K,A0T,A0V,A0Q,A0S,A0Y,Q0T,Q0V,Q0S,V0N,Q0Y,Q0G,V0S,Q0A,Q0L,Q0N,Q0I,V0Y,Q0K,G0S,G0Q,G0V,G0T,G0Y,G0A,G0G,G0D,G0E,G0K,G0N,G0L,N0N,N0L,N0K,N0I,N0G,N0D,N0A,N0Y,N0V,N0T,N0S,N0Q,S0G,S0D,S0E,S0A,S0N,S0L,S0K,S0V,S0T,S0S,S0Y,T0T,T0V,T0Q,T0S,T0Y,T0E,T0D,T0G,T0A,T0L,T0N,T0K
AGC00462.1,8,10,12,9,7,6,4,7,13,7,11,6,8,5,7,5,4,6,15,13,8,9,7,4,4,13,11,11,9,9,6,7,6,2,6,9,4,3,5,8,9,7,5,4,6,7,1,6,4,11,8,5,1,11,12,12,5,9,9,7,7,13,3,3,12,5,5,4,6,9,3,7,5,6,6,3,3,11,10,9,14,7,4,7,12,3,3,1,5,6,5,4,8,4,6,14,10,6,13,10,9,7,12,9,8,5,6,4,5,4,11,6,7,8,9,9,2,10,3,5,10,6,10,5,9,7
AGC00464.1,7,10,12,9,7,5,4,7,14,8,11,6,8,5,7,5,3,7,14,14,7,9,6,5,4,13,10,11,9,9,6,7,6,2,6,9,4,3,5,8,7,8,5,4,6,7,1,6,4,11,8,5,1,10,11,12,5,9,8,7,7,13,3,3,13,6,5,4,6,9,3,7,4,6,6,3,3,9,10,10,13,7,4,7,12,3,3,1,5,6,5,3,9,4,3,15,10,7,13,9,10,7,12,9,8,5,6,4,4,4,11,6,6,8,10,9,2,10,4,5,9,6,11,5,9,7
AGC00465.1,7,10,12,9,7,6,4,7,14,8,11,6,8,5,7,5,4,7,13,14,7,9,6,5,4,14,11,11,9,9,6,7,6,2,6,9,4,3,6,7,7,7,5,4,6,8,1,6,4,12,8,5,1,11,12,12,5,9,7,8,7,13,3,3,14,5,5,4,6,9,3,7,5,6,6,3,3,9,10,10,14,7,4,7,12,3,3,1,4,7,5,3,9,4,3,14,10,6,14,10,10,7,11,9,8,6,6,4,4,4,11,6,6,8,10,9,2,10,4,5,10,6,11,5,9,7
AGC00466.1,7,10,12,9,7,5,4,7,14,8,11,6,8,5,7,5,3,7,14,14,7,9,6,5,4,14,9,11,9,9,6,7,6,2,6,9,4,3,5,8,7,8,5,4,6,7,1,6,4,11,8,5,1,11,12,12,5,9,8,7,7,13,3,3,13,6,5,4,6,9,3,7,4,6,6,3,3,9,10,10,14,7,4,7,12,3,3,1,5,6,5,3,9,4,3,15,10,7,13,9,10,7,12,9,8,5,6,4,4,4,11,6,6,8,10,9,2,10,4,5,9,6,11,5,9,7
AGC00467.1,5,11,9,11,6,4,6,6,11,7,10,7,11,8,6,5,4,7,9,14,8,6,8,6,5,11,8,12,2,7,3,8,4,6,7,6,6,4,7,7,8,9,5,5,5,6,2,6,6,9,8,3,2,6,10,16,3,6,7,6,9,11,2,4,10,5,8,4,8,11,3,9,5,5,8,2,4,9,9,7,15,3,3,7,13,5,3,2,3,6,5,7,9,5,5,9,11,7,9,12,11,5,11,10,10,6,5,5,5,4,10,10,8,9,10,6,7,15,3,6,9,7,10,5,13,9
CCK33643.1,6,7,11,5,12,8,17,10,7,10,11,13,8,14,14,5,5,8,6,14,13,5,8,5,3,14,6,14,5,9,12,4,6,2,1,2,12,10,15,10,6,9,7,6,4,4,5,10,6,10,7,4,6,5,24,10,34,9,9,4,24,15,4,19,11,7,6,9,5,11,7,5,5,21,3,3,6,6,7,12,12,4,16,6,8,7,8,6,1,6,9,9,6,7,6,3,15,9,3,8,7,8,2,8,12,4,10,7,8,5,10,15,11,5,16,12,10,15,7,7,18,5,21,4,9,10
CCK33644.1,4,11,16,4,7,7,7,5,13,10,11,11,8,3,9,3,6,3,13,11,12,3,9,3,6,11,6,9,5,9,4,4,5,12,6,5,15,5,8,7,15,16,2,4,5,9,8,8,8,13,4,15,6,9,10,9,6,5,5,2,12,14,6,8,7,7,4,8,1,12,4,10,8,5,9,9,13,11,11,6,20,12,8,8,4,5,6,3,5,8,8,11,12,9,6,9,13,16,13,9,8,6,7,7,3,7,8,8,9,5,3,4,2,4,11,8,7,3,8,10,13,9,7,6,14,9
AGH70288.1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,2,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
AGM39430.1,1,5,0,2,2,1,2,2,1,2,2,0,1,0,1,1,1,3,1,2,0,1,1,1,1,1,3,0,0,1,0,0,0,2,0,0,0,0,0,1,1,2,0,0,1,0,2,2,0,3,0,0,0,1,3,0,1,2,2,1,1,1,1,1,0,2,0,1,0,2,0,0,1,2,0,2,1,0,1,0,1,0,0,0,3,0,0,0,1,0,0,1,3,1,5,1,4,3,0,1,0,1,1,1,0,0,1,1,0,0,2,0,0,2,0,0,0,1,2,1,0,1,0,0,1,2
AGM39431.1,0,5,0,2,2,1,3,2,1,2,2,0,1,0,1,1,1,3,1,2,0,1,1,1,1,1,3,0,0,1,0,0,0,2,0,0,0,0,0,1,1,2,0,0,1,0,1,2,0,3,0,0,0,1,3,0,1,2,2,1,1,1,1,2,0,2,0,1,0,2,0,0,0,2,0,2,1,0,1,0,1,0,0,0,3,0,0,0,1,0,1,3,3,1,5,1,4,3,0,1,0,1,1,1,0,0,1,1,0,0,2,0,0,2,0,0,0,1,1,1,0,1,0,0,1,2
AGM39432.1,0,5,0,2,2,1,3,2,1,2,1,0,0,0,1,1,1,1,1,2,0,0,1,1,1,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,2,0,0,0,0,3,0,1,1,2,1,1,1,1,2,0,1,0,1,0,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,3,3,1,5,1,3,3,0,1,0,1,1,1,0,0,1,1,0,0,2,0,0,2,0,0,0,1,0,1,0,1,0,0,1,1
AGN99124.1,7,12,6,2,10,12,10,5,15,9,9,18,8,6,12,10,3,7,13,13,6,9,6,4,6,11,11,6,11,7,3,5,5,8,0,6,17,3,7,12,10,6,5,3,3,6,5,10,10,15,8,8,7,8,13,6,9,8,17,6,4,15,7,8,5,6,6,6,7,11,8,7,5,7,9,8,10,7,2,9,13,8,6,7,8,12,10,10,3,12,15,17,12,10,8,15,24,14,10,10,15,9,14,6,12,5,10,14,5,6,10,5,2,4,17,6,9,10,9,7,9,8,15,8,13,10
AGO09550.1,1,5,8,4,4,5,3,4,6,8,2,3,21,4,7,5,9,5,27,10,11,28,8,10,14,13,3,4,6,0,1,2,5,8,3,4,1,2,2,6,2,4,0,0,2,3,24,6,3,13,5,4,2,4,6,2,5,9,6,1,4,17,2,9,7,4,1,4,0,8,12,9,1,5,0,15,1,13,2,7,12,0,11,2,17,9,14,1,6,23,8,7,27,13,7,9,17,8,19,4,8,7,6,20,10,3,5,4,5,5,3,4,4,4,4,2,3,7,4,0,6,3,6,15,11,4
BAN79074.1,4,8,9,4,1,5,3,2,9,5,5,2,4,5,2,3,4,4,8,11,7,9,6,3,4,13,9,6,8,2,3,6,2,1,5,5,3,0,3,5,7,3,4,3,6,6,1,4,4,5,4,2,0,6,7,10,2,5,3,4,6,10,2,2,6,5,1,3,5,5,2,4,2,3,5,0,2,8,9,9,14,4,2,3,12,3,3,0,3,4,3,1,5,1,2,11,4,3,10,7,2,3,10,7,6,1,3,3,2,3,7,3,3,6,4,4,0,2,1,1,6,4,8,3,7,3
BAN79075.1,1,1,1,2,0,0,2,0,0,3,2,4,1,1,2,2,1,2,0,0,0,0,0,2,0,1,2,2,1,3,2,2,1,2,0,3,3,3,0,2,5,2,0,1,0,0,0,2,3,1,3,1,1,3,1,2,1,2,4,0,1,3,2,0,5,1,3,1,2,1,1,0,2,1,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,4,3,2,2,0,0,3,3,0,1,4,2,0,0,3,1,6,2,1,3,3,2,2,1,10,0,3,6,0,4,1,0,3,1,6,4
AGZ03656.1,4,10,13,8,10,12,9,14,25,7,8,9,11,14,17,10,9,10,17,15,9,12,15,6,8,14,4,13,12,12,1,7,6,7,9,7,12,6,9,12,10,8,11,10,6,11,6,15,7,15,14,7,15,12,19,16,15,8,11,6,5,16,4,8,11,12,18,16,9,11,8,8,10,7,8,10,10,7,15,8,26,7,16,9,9,10,14,6,8,12,12,19,10,12,10,12,24,9,13,11,13,10,19,14,10,7,13,10,9,12,10,9,5,4,15,10,14,14,16,4,16,6,10,5,16,7
AGZ03657.1,4,10,13,8,10,12,9,14,26,7,8,9,11,15,16,10,9,10,16,16,8,10,14,7,9,14,4,12,12,13,1,7,6,7,9,6,10,6,9,12,10,8,11,10,6,10,6,14,7,15,13,7,16,12,16,16,14,8,12,6,5,16,4,8,11,12,18,16,9,11,8,9,10,6,8,10,10,7,13,8,26,7,16,9,9,10,14,6,8,11,13,19,10,12,10,12,24,9,13,11,13,11,17,13,10,8,13,10,9,12,10,9,5,4,15,10,14,13,16,4,17,6,11,5,16,7
AHC31982.1,5,12,12,8,15,15,6,12,18,7,10,11,10,6,14,4,9,9,4,19,13,4,6,9,4,11,10,9,4,7,4,6,7,2,4,3,10,2,9,7,6,5,4,9,3,6,9,10,6,15,5,9,2,8,16,9,7,7,7,5,8,14,4,9,6,7,7,6,7,11,7,8,6,8,4,6,11,6,9,7,18,5,9,6,11,6,7,4,4,4,11,6,6,8,6,7,12,11,9,9,12,7,7,6,11,6,5,8,8,4,5,8,5,11,13,10,8,13,7,8,19,4,7,4,10,3
AHF19404.1,3,6,7,5,6,8,4,6,13,2,5,12,10,3,9,3,5,8,8,14,7,4,7,3,5,11,7,6,8,8,5,3,4,5,4,1,8,8,5,6,6,7,6,4,4,6,5,10,5,11,6,4,8,5,7,10,6,8,11,5,4,8,6,6,4,5,2,7,6,10,6,4,7,4,4,4,9,10,6,5,13,9,7,7,3,8,6,2,6,6,9,16,9,4,9,4,11,9,6,8,12,7,14,5,6,5,9,7,6,6,8,10,5,4,10,9,9,7,6,6,12,6,6,4,14,2
AHF19405.1,7,8,4,9,11,10,3,7,17,8,13,5,8,5,8,2,7,8,9,9,12,4,10,7,9,16,7,8,1,7,2,6,6,7,7,7,7,7,4,8,10,6,5,8,4,7,4,6,7,8,12,4,4,3,10,5,7,6,7,5,4,9,5,8,3,3,10,5,7,11,5,6,6,4,3,4,5,6,6,5,10,4,10,10,6,9,9,2,8,7,6,11,8,5,3,9,18,4,6,12,21,5,15,7,9,6,2,11,7,6,3,7,9,9,15,12,7,7,8,8,7,6,7,2,14,5
AHF19735.1,8,12,11,3,13,8,10,11,11,10,18,10,9,11,21,3,9,8,10,14,8,5,10,7,9,12,7,10,6,6,1,2,4,5,9,3,8,4,14,5,4,8,6,5,5,1,4,7,7,9,5,8,4,7,15,7,6,7,4,3,7,29,6,6,14,7,3,6,5,6,4,7,4,6,8,7,11,7,8,5,13,6,9,6,8,3,5,8,3,7,8,7,4,3,3,7,14,9,9,8,10,7,9,11,19,4,7,6,4,12,5,13,10,6,22,9,3,12,6,6,31,9,18,4,5,5
AHN08015.1,6,5,8,5,8,7,8,11,12,6,4,11,9,8,11,6,11,8,9,12,11,8,6,6,3,12,6,10,4,6,5,3,5,0,6,2,8,3,9,6,1,4,2,7,11,5,6,8,3,11,10,10,7,10,15,11,21,7,9,4,8,26,5,14,3,10,6,8,5,13,6,9,5,9,5,6,10,4,7,2,17,5,18,6,13,7,5,4,3,6,11,5,7,3,3,6,17,10,8,7,9,4,9,4,6,1,6,5,7,1,4,11,0,5,17,9,13,13,10,3,14,18,15,7,11,3
AHU88292.1,7,6,3,4,13,8,7,11,18,8,7,6,9,9,7,4,11,7,7,18,9,5,6,4,2,11,8,16,2,8,1,7,5,2,4,2,4,7,6,6,6,4,4,7,8,6,4,8,3,9,4,8,9,10,13,15,7,7,5,6,5,13,6,12,13,8,8,7,6,6,2,8,6,7,5,4,6,4,5,2,12,5,7,4,15,9,4,8,1,4,12,6,3,2,5,6,13,10,5,7,7,3,9,3,5,4,15,2,1,5,6,11,6,5,14,7,6,10,7,5,11,10,11,10,11,4
CDO67296.1,3,2,0,1,3,3,3,3,4,4,2,2,3,2,1,0,3,0,1,5,1,1,3,1,0,1,1,4,0,2,0,1,0,0,0,0,0,3,3,2,4,0,0,1,3,1,0,2,0,2,2,1,0,2,5,4,2,3,2,3,3,4,0,3,2,2,1,2,1,2,0,1,0,1,1,0,1,1,1,0,1,0,1,1,4,3,1,0,0,0,2,1,1,0,0,0,8,5,0,1,0,0,1,0,0,0,1,2,1,0,2,1,1,2,2,1,0,2,2,1,3,1,4,3,3,2
CDO67297.1,3,2,0,1,3,3,3,3,4,4,2,2,3,2,1,0,4,0,1,5,1,1,3,1,0,2,1,4,0,2,0,1,0,0,0,0,0,3,3,2,4,0,0,1,3,1,0,2,0,2,2,1,0,2,5,4,2,3,2,3,3,4,0,3,2,2,1,2,1,2,0,1,0,1,1,0,1,1,1,0,1,0,1,1,4,3,1,0,0,0,2,1,1,0,0,0,8,5,0,1,0,0,1,0,0,0,1,2,1,0,2,1,1,2,2,1,0,2,2,1,3,1,4,3,3,2
CDO67298.1,3,2,0,1,3,3,3,3,4,4,2,2,3,2,1,0,4,0,1,5,1,1,3,1,0,2,1,4,0,2,0,1,0,0,0,0,0,3,3,2,4,0,0,1,3,1,0,2,0,2,2,1,0,2,6,4,2,3,2,3,3,4,0,3,2,2,1,2,1,2,0,1,0,1,1,0,1,1,1,0,1,0,1,1,4,3,1,0,0,0,2,1,1,0,0,0,8,5,0,1,0,0,1,0,0,0,1,2,1,0,2,1,1,2,2,1,0,2,2,1,3,1,4,3,3,2
CDO67300.1,3,2,0,1,3,3,3,3,4,4,2,3,3,2,1,0,3,0,1,5,1,1,3,1,0,1,1,4,0,2,0,1,0,0,0,0,0,3,3,2,4,0,0,1,3,1,0,2,0,2,2,1,0,2,5,4,2,3,2,3,3,4,0,3,2,2,1,2,1,2,0,1,0,1,1,0,1,1,1,0,1,0,1,1,4,3,1,0,0,0,2,1,1,0,0,0,8,5,0,1,0,0,1,0,0,0,1,2,1,0,2,1,1,2,2,1,0,2,2,1,3,1,4,3,3,2
CDO67301.1,3,2,0,1,3,3,3,4,4,4,2,3,3,2,1,0,3,0,1,5,1,1,3,1,0,1,1,4,0,2,0,1,0,0,0,0,0,3,3,2,4,0,0,1,3,1,0,2,1,2,2,1,0,2,5,4,2,3,2,3,3,4,0,3,2,2,1,2,1,2,0,1,0,1,1,0,1,1,1,0,1,0,1,1,4,3,1,0,0,0,2,1,1,0,0,0,8,5,0,1,0,0,1,0,0,0,1,2,1,0,2,1,1,2,2,1,0,2,2,1,3,1,4,3,3,2
CDO67302.1,3,1,0,1,3,3,3,4,4,4,2,2,3,2,1,0,4,0,1,5,1,1,3,1,0,2,1,4,0,2,0,1,0,0,0,0,0,3,3,2,4,0,0,1,3,1,0,2,1,2,2,1,0,2,6,4,2,3,2,3,3,4,0,3,2,2,1,2,1,2,0,1,0,1,1,0,1,1,1,0,1,0,1,1,4,3,1,0,0,0,2,1,1,0,0,0,8,5,0,1,0,0,1,0,0,0,1,2,1,0,2,1,1,2,2,1,0,2,2,1,3,1,4,3,3,2
CDO67303.1,3,2,0,1,3,3,3,3,4,4,2,2,3,2,1,0,4,0,1,5,1,1,3,1,0,1,1,4,0,2,0,1,0,0,0,0,0,3,3,2,4,0,0,1,3,1,0,3,0,2,2,1,0,1,5,4,2,3,2,3,3,4,0,3,2,1,1,2,1,2,0,1,0,1,1,0,1,1,1,0,1,0,1,1,4,3,1,0,0,0,2,1,1,0,0,0,8,5,0,1,0,0,1,0,0,0,1,2,1,0,2,1,1,2,2,1,0,2,3,1,3,1,4,3,3,2
CDO67304.1,3,2,0,1,3,3,3,4,4,4,2,2,3,2,1,0,4,0,1,5,1,1,3,1,0,1,1,4,0,2,0,1,0,0,0,0,0,3,3,2,4,0,0,1,3,1,0,2,1,2,2,1,0,2,5,4,2,3,2,3,3,4,0,3,2,2,1,2,1,2,0,1,0,1,1,0,1,1,1,0,1,0,1,1,4,3,1,0,0,0,2,1,1,0,0,0,8,5,0,1,0,0,1,0,0,0,1,2,1,0,2,1,1,2,2,1,0,2,2,1,3,1,4,3,3,2
CCH63999.1,6,7,4,4,11,11,6,11,10,6,6,8,10,12,10,4,11,6,5,18,11,4,5,5,2,9,13,10,4,12,2,4,6,1,6,1,3,5,4,5,6,2,2,10,10,3,2,8,2,9,3,5,10,12,13,15,7,7,2,6,6,16,7,8,11,11,9,6,4,5,4,10,8,9,2,4,8,4,6,1,14,5,9,5,9,8,5,7,1,2,11,2,2,2,1,4,13,9,2,12,6,3,5,4,7,0,16,5,4,4,11,9,13,5,18,8,8,13,7,7,12,8,20,7,6,2
AIM52834.1,4,10,13,8,10,12,9,14,26,7,8,9,11,15,16,10,9,11,17,16,8,11,14,7,8,14,5,12,11,13,1,7,6,7,9,7,12,6,10,12,9,8,10,10,6,11,6,14,7,14,13,7,15,12,16,16,13,8,12,6,5,16,5,8,11,12,17,17,9,11,8,9,10,6,8,10,10,7,15,8,27,7,17,9,8,10,14,6,8,11,11,19,10,12,10,11,24,9,13,11,14,11,18,13,10,8,13,11,9,12,9,8,5,4,15,10,14,14,16,4,17,6,11,4,16,7
CDX65123.1,2,6,11,4,10,9,4,11,13,7,9,7,10,17,9,11,5,14,14,18,4,8,11,6,2,16,7,14,10,9,3,3,8,3,7,10,11,5,8,9,16,6,8,4,4,7,6,13,7,19,10,9,15,14,10,9,9,8,10,5,9,14,7,9,7,13,15,21,12,16,7,13,15,7,9,11,7,8,12,11,22,7,18,16,8,9,10,7,9,8,13,18,7,6,5,13,22,9,8,12,9,12,14,10,8,4,11,9,8,9,11,8,9,4,10,8,13,11,13,6,11,5,7,4,13,7
AIY21017.1,6,6,8,4,8,9,9,8,7,8,11,11,8,6,11,6,5,8,9,14,13,9,5,8,6,15,5,10,3,7,5,6,7,5,4,7,12,10,7,10,8,3,11,10,7,2,6,6,5,9,7,10,9,9,13,13,16,8,5,6,10,19,4,5,9,6,4,5,1,9,4,7,4,1,1,3,10,8,10,4,14,1,13,10,10,6,6,8,10,4,17,3,5,11,5,4,11,10,11,5,8,2,5,9,5,6,2,5,5,9,9,6,7,9,13,4,5,7,4,8,11,4,20,5,11,10
AIY21018.1,3,8,8,9,5,3,6,7,10,9,10,10,7,7,15,6,5,7,9,10,8,11,5,6,9,11,5,17,5,13,6,6,5,6,1,8,18,6,10,8,13,11,5,2,8,2,5,8,4,12,5,5,3,10,13,15,13,9,5,6,7,11,11,3,9,7,5,3,2,12,4,4,4,2,5,4,8,6,9,8,9,9,13,10,9,6,9,6,7,6,9,5,4,15,8,2,17,4,7,10,5,3,7,10,6,8,8,5,4,7,9,8,2,10,13,8,3,11,5,11,15,12,15,2,10,9
AIY21019.1,2,8,9,7,5,11,5,11,7,9,9,11,8,4,10,3,5,5,10,13,9,8,10,6,6,17,7,11,4,15,4,8,5,8,6,7,14,8,11,11,16,6,5,8,6,4,3,8,10,8,8,8,5,10,11,14,9,9,9,5,7,17,9,2,12,8,3,8,2,12,4,7,10,2,7,2,10,8,11,7,16,9,18,5,8,4,6,7,11,8,13,5,6,10,1,9,10,7,7,8,4,10,10,6,7,8,11,5,5,12,5,6,8,13,15,12,2,6,5,6,18,14,16,8,12,9
AIY21477.1,5,8,8,6,5,8,7,11,13,7,10,8,3,10,13,6,6,6,12,13,11,8,8,2,5,12,7,14,5,4,2,9,3,4,3,2,11,4,7,10,6,11,3,8,8,5,5,9,6,9,5,8,5,10,15,12,14,4,6,4,9,26,8,6,12,8,1,6,5,9,7,13,6,4,6,3,9,4,7,3,17,4,11,5,11,7,9,4,2,8,17,10,13,9,8,7,12,11,7,9,10,9,6,10,10,5,8,9,4,2,4,5,1,7,13,11,3,10,7,6,12,7,14,9,11,5
AIY21480.1,4,11,10,9,5,5,5,8,7,7,9,6,7,6,7,7,2,6,7,15,11,7,10,5,6,14,4,15,6,8,8,4,4,6,3,4,7,2,8,9,8,9,2,10,4,5,6,10,6,10,7,6,7,12,12,11,10,12,8,3,5,13,6,7,13,8,7,7,17,8,8,9,4,5,3,11,6,9,9,8,17,4,9,6,11,6,5,6,5,7,14,6,9,9,6,8,9,7,8,6,13,5,7,8,6,8,5,6,4,5,10,7,6,9,12,5,8,12,3,7,6,5,9,12,9,5
AIY22101.1,3,13,10,2,4,7,10,4,17,2,10,12,11,5,8,5,6,6,11,13,6,7,6,4,5,13,4,12,9,10,5,5,6,4,4,8,7,2,7,5,3,5,6,5,6,6,6,6,7,8,3,7,4,8,10,9,5,9,9,4,7,13,6,5,8,8,4,4,2,7,4,8,5,5,4,2,6,10,4,9,12,10,10,4,9,9,5,7,3,14,11,17,6,9,5,19,16,6,7,13,13,9,8,8,5,7,7,8,6,3,5,3,5,9,16,8,3,3,2,5,17,11,10,2,16,5
CDX67012.1,3,7,7,9,10,16,2,9,4,7,6,4,9,15,10,9,5,5,8,12,6,8,8,5,4,12,7,7,6,5,4,4,4,8,3,5,6,6,8,6,5,9,7,10,2,3,4,7,5,10,6,9,5,10,8,11,6,7,4,4,6,12,6,6,7,5,5,8,2,10,5,9,2,6,8,7,13,4,13,4,18,6,6,4,9,6,8,6,4,5,10,7,3,9,6,4,14,5,4,5,4,4,8,7,6,4,4,8,8,3,6,5,2,8,5,4,5,7,11,5,7,6,6,5,1,6
CDX66820.1,7,16,18,13,19,24,18,21,22,9,19,28,17,19,17,12,10,15,15,28,12,10,10,12,12,25,7,21,11,18,4,10,10,13,15,10,18,14,16,11,21,12,7,14,9,12,12,17,17,20,10,22,10,18,37,24,9,14,15,12,20,30,12,13,4,9,12,16,11,23,8,16,5,10,10,12,15,9,20,12,32,11,19,16,24,14,16,8,8,11,28,11,16,13,7,10,32,16,10,14,17,12,22,14,15,5,5,11,14,11,9,11,6,14,21,12,14,14,14,6,18,16,30,10,23,13
CDX66895.1,5,3,11,9,5,10,6,11,15,6,8,8,14,20,14,12,10,8,15,12,10,14,11,11,10,14,7,15,10,13,3,9,3,1,10,8,9,5,13,15,12,12,5,6,9,12,5,13,5,17,9,9,16,15,18,13,11,14,10,8,5,13,8,12,12,13,15,19,9,12,6,8,13,9,7,12,15,9,14,15,21,6,13,8,9,8,15,3,12,9,11,17,7,9,10,14,16,11,11,11,12,11,16,9,13,7,14,18,12,15,6,11,7,7,9,10,13,18,15,4,16,6,9,4,14,9
CDX66896.1,3,6,8,4,8,13,5,13,16,5,12,10,12,18,7,11,5,11,16,19,5,6,6,5,4,16,8,14,9,8,3,3,5,4,11,7,10,6,9,7,12,10,9,5,4,8,6,15,12,15,5,5,14,16,10,10,10,11,9,6,7,17,7,7,6,12,13,16,8,14,7,9,13,8,8,8,6,7,16,6,19,6,15,14,9,10,10,7,8,9,13,17,8,8,10,11,17,8,10,12,13,14,12,7,10,3,9,11,8,11,9,7,8,9,12,9,12,11,12,7,13,7,9,3,12,8
CDX66641.1,8,8,6,6,10,7,2,8,10,6,4,7,4,3,8,5,6,9,11,10,8,4,4,5,5,7,6,7,2,5,3,7,5,8,11,5,7,2,4,7,5,7,8,8,4,13,8,7,8,12,6,7,5,4,6,6,4,3,2,3,3,3,5,7,5,7,3,1,6,3,3,8,6,3,2,4,4,4,3,3,5,7,10,10,5,2,7,2,10,7,10,11,9,8,11,5,13,7,9,10,10,6,3,10,9,3,2,10,6,6,2,5,4,4,4,4,1,9,7,4,5,4,2,8,6,9
AIZ67973.1,2,1,1,1,0,3,0,4,2,3,1,0,1,2,0,1,0,0,1,2,0,1,4,0,2,2,0,1,3,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,2,0,1,3,0,3,0,1,1,4,3,3,4,2,3,3,1,0,2,1,0,0,1,0,1,1,0,1,3,0,0,1,1,0,3,2,0,5,1,1,2,0,0,0,0,2,0,0,1,1,0,3,4,0,0,1,1,1,1,1,0,2,2,1,1,1,2,0,1,2,2,0,2,0,0,5,2,4,0,0,0
AIZ67974.1,2,0,1,0,2,0,0,2,3,2,0,1,1,1,1,2,0,0,1,3,0,1,4,1,0,2,0,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,3,0,1,1,0,1,4,3,1,3,2,0,2,3,2,2,0,1,0,1,1,2,1,1,2,3,0,0,1,4,1,2,3,0,2,0,2,1,1,0,0,0,2,0,1,0,0,0,2,3,0,2,0,2,2,0,2,1,1,1,0,1,1,4,1,4,4,2,0,4,0,3,2,1,2,1,1,0
AJD55346.1,7,9,12,9,7,6,4,7,14,8,11,6,8,5,7,5,5,6,14,14,8,7,7,4,6,13,11,11,9,9,6,7,6,2,6,9,4,3,5,8,9,7,5,4,6,7,1,6,4,11,8,5,1,11,12,12,5,9,8,7,7,13,3,3,12,5,5,4,6,9,3,7,5,6,6,3,3,11,10,7,14,7,4,7,12,3,3,1,5,6,5,3,8,4,3,14,10,6,13,10,10,7,12,9,8,5,6,4,5,4,11,6,8,8,10,9,2,10,3,5,10,6,10,5,9,7
AJE22990.1,4,1,3,4,4,5,6,3,3,2,6,1,6,2,3,3,5,4,1,2,1,4,5,3,1,5,3,6,7,1,4,4,7,1,3,0,6,3,1,2,0,3,2,3,4,1,4,5,5,3,2,6,2,7,4,6,5,6,1,1,1,4,4,2,7,5,0,3,0,6,2,3,3,5,2,3,3,1,1,1,5,4,4,2,7,2,9,2,1,5,6,2,5,1,4,3,4,2,2,3,2,1,2,3,2,4,4,2,4,3,2,1,2,2,3,4,3,3,4,2,5,0,0,3,3,3
BAQ24287.1,7,8,7,10,7,10,6,5,9,6,7,7,6,3,6,8,4,9,11,8,9,6,3,5,6,12,7,13,8,4,4,5,4,6,5,8,6,4,7,7,10,8,2,6,4,6,7,7,9,10,8,5,3,13,13,13,3,9,11,6,8,13,5,5,11,7,5,5,7,10,4,5,5,7,3,6,3,6,9,8,10,6,5,6,11,4,3,3,5,6,11,8,9,8,9,7,9,11,11,11,9,6,5,11,7,1,11,9,6,5,11,5,7,4,16,5,6,11,3,6,8,5,10,4,10,9
BAQ24288.1,7,8,10,9,8,6,4,7,11,6,11,8,9,4,7,5,3,6,12,12,8,8,7,4,4,12,10,10,7,9,4,7,5,2,6,9,4,3,6,8,8,8,4,4,5,6,1,6,4,10,8,6,1,10,12,10,5,9,7,8,6,12,3,3,12,6,6,4,6,10,3,5,3,5,5,2,2,10,9,8,13,7,4,7,11,3,3,1,4,6,5,3,8,5,4,13,9,8,10,8,11,5,9,9,8,5,5,3,5,3,12,6,6,8,10,9,2,12,2,8,9,5,9,5,11,8
